material_id,chem_formula,R$_0$,B,Au_chemenv,num_Au_chemenvs,Au_wyckoff,num_Au_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Au_sites,num_CN_env,num_charge_states,AuX_coordn,AuO_coordn,mean_coordn_Au-X,min_coordn_Au-X,max_coordn_Au-X,mean_coordn_Au-O,min_coordn_Au-O,max_coordn_Au-O,mean_Au_charge,min_Au_charge,max_Au_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_AuO_BondL
mp-10559,Gd3AuO6,2.391872844658919,-1.3178292808354333,Square plane,1,1a,1,[0.091718363301376],0.0,0.091718363301376,AB3C6,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Au-Gd-O,0.0,-2.927915637999996,1.5063,3,Triclinic,-1,P-1,oxide,,,Au,,,,O,,,Gd,,B < -1,Negative B,2.012714570763765
mp-10560,Sm3AuO6,2.4445122611699555,-1.4975539160743012,Square plane,1,1a,1,[0.072432567215006],0.0,0.072432567215006,AB3C6,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Au-O-Sm,0.0,-3.077528223500002,1.7477,3,Triclinic,-1,P-1,oxide,,,Au,,,,"O, S",,,Sm,,B < -1,Negative B,2.0136435083655364
mp-1105366,KAu(IO3)4,2.0297788354791635,-0.0337402266372792,Square plane,1,1b,1,[0.087398330301255],0.0,0.087398330301255,ABC4D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,Au-I-K-O,0.003541086666666,-0.912774562625,2.117199999999999,4,Monoclinic,2,C2,iodate,K,,Au,,,,O,I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0186766608656823
mp-1105750,LiAu(S2O7)2,2.038077901095836,-0.0202903677259646,Square plane,1,1h,1,[0.01896919773257],0.0,0.01896919773257,ABC4D14,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Au-Li-O-S,0.0,-1.643870422166666,1.983299999999999,4,Triclinic,-1,P-1,oxide,Li,,Au,,,,"O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0322351960208547
mp-1105854,CsAu(IO3)4,2.0405856099955915,-0.0620724761461484,Square plane,1,1b,1,[0.090761439315336],0.0,0.090761439315336,ABC4D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,Au-Cs-I-O,0.007184388888889,-0.9105916060919532,2.0493,4,Monoclinic,2,C2,iodate,Cs,,Au,,,,"C, O",I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0216254334863613
mp-1188141,RbAu(IO3)4,2.0361189400823068,-0.0545552367360983,Square plane,1,1b,1,[0.097121362016629],0.0,0.097121362016629,ABC4D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,Au-I-O-Rb,0.0,-0.913650205972222,2.1073,4,Monoclinic,2,C2,iodate,Rb,,Au,,,,O,I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0194553205786194
mp-1188818,NaAu(IO3)4,2.013858054610048,-0.0081098649325313,Square plane,1,1a,1,[0.12860627169138902],0.0,0.128606271691389,ABC4D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,Au-I-Na-O,0.005154522777777,-0.483145271388887,2.104199999999999,4,Triclinic,1,P1,iodate,Na,,Au,,,,"N, O",I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.011522114917569
mp-1194889,MgAu2(SO4)4,1.9825532951480416,0.1769894689232891,Square plane,1,4b,1,[0.24490030342284702],0.0,0.244900303422847,AB2C4D16,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Au-Mg-O-S,0.0,-1.654153142826087,1.7625000000000002,4,Orthorhombic,mm2,Fdd2,sulfate,,Mg,Au,,,,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.033862011250986
mp-1195201,K2Au(IO3)5,2.0243524783287823,0.0107548104354687,Square plane,1,2a,1,[0.064141704390972],0.0,0.064141704390972,AB2C5D15,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,Au-I-K-O,0.0,-1.03311708823913,1.9927,4,Orthorhombic,mm2,Cmc2_1,iodate,K,,Au,,,,O,I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0266648877617897
mp-1198003,NaAu(S2O7)2,2.06375924837634,-0.0849701139014438,Square plane,1,2a,1,[0.0013892230021300001],0.0,0.00138922300213,ABC4D14,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Au-Na-O-S,0.0,-1.644728504068964,1.789499999999999,4,Monoclinic,2/m,P2_1/c,oxide,Na,,Au,,,,"N, O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.039286727710481
mp-1200560,CsAu(IO3)4,2.0202831886757666,0.0189406419589447,Square plane,1,2i,1,[0.5980899741474961],0.0,0.5980899741474961,ABC4D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,Au-Cs-I-O,0.0,-0.9177759949808432,1.934499999999999,4,Triclinic,-1,P-1,iodate,Cs,,Au,,,,"C, O",I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.026159686015265
mp-1202202,NaAu(IO3)4,2.0073501303977306,0.0029348620407708,Square plane,1,2a,1,[0.00047790616048400006],0.0,0.000477906160484,ABC4D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",r2SCAN,Au-I-Na-O,0.0,-0.488299794166666,1.9991,4,Monoclinic,2/m,P2_1/c,iodate,Na,,Au,,,,"N, O",I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0082349414681167
mp-1229194,AgAu(IO3)4,2.0269519895951804,0.0059274815128725,Square plane,1,2a,1,[0.160143262650381],0.0,0.160143262650381,ABC4D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",GGA,Ag-Au-I-O,0.0,-0.713105557037036,1.257299999999999,4,Monoclinic,m,Pc,iodate,,,"Ag, Au",,,,O,I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0289802598613673
mp-1234500,MgAu4Se4(ClO3)4,2.0386657434750965,-0.0021347617243044,"See-saw, Square plane",2,1a,1,"[6.505043910094803, 0.024141973566072002, 0.46432893993029106, 0.5635892802507081]",0.25,1.8892760259604688,AB4C4D4E12,2,4,1,"[3.0, 4.0, 4.0, 4.0]","[0, 2.0, 3.0, 4.0]",3.75,3.0,4.0,3.0,0.0,4.0,3.0,3.0,3.0,1.5,1,2,"Cl-, O2-","Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",GGA,Au-Cl-Mg-O-Se,0.04186858945,-1.075852478975,0.5009,5,Triclinic,1,P1,chlorate,,Mg,Au,,,,"C, O, S, Se",Cl,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.03825373138753
mp-1235050,LiAu4Se4(ClO3)4,2.082415485034933,-0.0696040145889979,Square plane,1,1a,1,"[0.61314543834319, 0.166644105675917, 0.698106099192848, 0.490318035434383]",0.0,0.4920534196615845,AB4C4D4E12,1,3,1,"[4.0, 4.0, 4.0]","[2.0, 3.0, 4.0]",4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,1.6666666666666667,1,2,"Cl-, O2-","Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,Au-Cl-Li-O-Se,0.047322044033334,-0.982102541308334,0.0,5,Triclinic,1,P1,chlorate,Li,,Au,,,,"C, O, S, Se",Cl,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0610696913969693
mp-1235220,LiAu4Se4(ClO3)4,2.071298559754345,0.0082940829712529,Square plane,1,1a,1,"[0.9864141908728511, 0.47862568823255003, 0.7025686807185411, 0.441621928440356]",0.0,0.6523076220660746,AB4C4D4E12,1,3,1,"[4.0, 4.0, 4.0]","[2.0, 3.0, 4.0]",4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,1.6666666666666667,1,2,"Cl-, O2-","Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,Au-Cl-Li-O-Se,0.049279346033334,-0.9801452393083332,0.0,5,Triclinic,1,P1,chlorate,Li,,Au,,,,"C, O, S, Se",Cl,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0748542624079422
mp-1235291,LiAu4Se4(ClO3)4,2.06225630161284,0.0199121503706835,Square plane,1,1a,1,"[1.163912029311881, 0.13573225400941702, 1.162644220153588, 0.45848653279948304]",0.0,0.7301937590685922,AB4C4D4E12,1,3,1,"[4.0, 4.0, 4.0]","[2.0, 3.0, 4.0]",4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,1.6666666666666667,1,2,"Cl-, O2-","Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,Au-Cl-Li-O-Se,0.046212828833334,-0.983211756508333,0.0,5,Triclinic,1,P1,chlorate,Li,,Au,,,,"C, O, S, Se",Cl,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0708365492417293
mp-1235582,LiAu4Se4(ClO3)4,2.1361901670004912,-0.2056569142607832,Square plane,1,1a,1,"[0.7587262197223451, 0.050382007097772005, 0.6216478249727161, 0.47220758839693505]",0.0,0.475740910047442,AB4C4D4E12,1,3,1,"[4.0, 4.0, 4.0]","[2.0, 3.0, 4.0]",4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,1.6666666666666667,1,2,"Cl-, O2-","Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,Au-Cl-Li-O-Se,0.049563639233334,-0.9798609461083332,0.0459,5,Triclinic,1,P1,chlorate,Li,,Au,,,,"C, O, S, Se",Cl,,,,"B $\in$ [-1, -0.1]",Negative B,2.071069978990399
mp-1236013,LiAu4Se4(ClO3)4,2.125140013332582,-0.1077420239945484,Square plane,1,1a,1,"[0.6590317927264701, 0.261720048056702, 0.7645783676719371, 0.62698451632355]",0.0,0.5780786811946648,AB4C4D4E12,1,3,1,"[4.0, 4.0, 4.0]","[2.0, 3.0, 4.0]",4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,1.6666666666666667,1,2,"Cl-, O2-","Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,Au-Cl-Li-O-Se,0.044455231233334,-0.9849693541083332,0.132199999999999,5,Triclinic,1,P1,chlorate,Li,,Au,,,,"C, O, S, Se",Cl,,,,"B $\in$ [-1, -0.1]",Negative B,2.0851733774837595
mp-27253,Au2O3,1.963727731796764,0.2705868088111766,Square plane,1,4b,1,[0.194377661878838],0.0,0.194377661878838,A2B3,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Au-O,0.0,-0.153386996,0.8689999999999991,2,Orthorhombic,mm2,Fdd2,oxide,,,Au,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.022686340952605
mp-27441,Au2Se4O11,2.009713426276466,-0.0254929391094119,Square plane,1,"2d, 2a",2,"[0.029191126230546004, 0.014146634487142]",0.0,0.021668880358844,A2B4C11,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Au-O-Se,0.0,-0.5863667124264691,1.4326,3,Monoclinic,2/m,C2/c,oxide,,,Au,,,,"O, S, Se",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.00162792046846
mp-28095,Au2Se2O7,1.9932311222030457,0.1347375524616303,Square plane,1,4c,1,[0.311685968955007],0.0,0.311685968955007,A2B2C7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,Au-O-Se,0.000799705227272,-0.487162526193179,1.1502,3,Orthorhombic,mm2,Pba2,oxide,,,Au,,,,"O, S, Se",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.034202596960409
mp-28788,Ba9(AuO6)2,2.031819663912939,0.0936759551649321,Square plane,1,8d,1,[0.023967749881550003],0.0,0.02396774988155,A2B9C12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Au-Ba-O,0.0,-2.463638764021739,1.8544,3,Orthorhombic,mmm,Pnma,oxide,,Ba,Au,,,B,O,,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0587789922403585
mp-28853,LaAuO3,1.922081762382032,0.275704687833706,Square plane,1,4d,1,[0.10319045260379801],0.0,0.103190452603798,ABC3,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Au-La-O,0.0,-2.314873115500003,1.797699999999999,3,Orthorhombic,mmm,Pbcm,oxide,,,Au,,,,O,,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.0020108136852834
mp-555085,KAu(NO3)4,2.0720184698560704,-0.0770820867924472,Square plane,1,2a,1,[0.002322020251512],0.0,0.002322020251512,ABC4D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Au-K-N-O,0.0,-0.9275170098472212,2.0087,4,Monoclinic,2/m,P2_1/c,nitrate,K,,Au,,,,"N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0498282105628536
mp-555376,CsAu(SO4)2,2.09643328267631,-0.184162750853371,Square plane,1,4e,1,[0.152205161084806],0.0,0.152205161084806,ABC2D8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Au-Cs-O-S,0.0,-1.688997495179597,1.5932,4,Monoclinic,2/m,P2_1/c,sulfate,Cs,,Au,,,,"C, O, S",,,,,"B $\in$ [-1, -0.1]",Negative B,2.0434481594864966
mp-555741,RbAu(SO4)2,2.034653521475243,0.0212528718701236,Square plane,1,1b,1,[0.13053449050258],0.0,0.13053449050258,ABC2D8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Au-O-Rb-S,0.0,-1.681433545208333,1.7149,4,Triclinic,-1,P-1,sulfate,Rb,,Au,,,,"O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0407985776879856
mp-557441,KAu(IO3)4,2.0285933308522126,-0.0225341636322275,Square plane,1,1a,1,[0.07495400429233501],0.0,0.074954004292335,ABC4D12,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA,Au-I-K-O,0.0,-0.916315649291666,2.1181,4,Triclinic,1,P1,iodate,K,,Au,,,,O,I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0219410540137632
mp-559422,Bi4Au2O9,2.022674624415564,0.0566704241174641,Square plane,1,8c,1,"[0.090846534024626, 0.187554790552333]",0.0,0.1392006622884795,A2B4C9,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Au-Bi-O,0.0,-1.303107969833335,0.7795000000000001,3,Orthorhombic,mmm,Pbca,oxide,,,Au,,Bi,B,O,,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0393582694509114
mp-559824,Au2Se3O10,2.000625102469264,-0.0063745053160621,Square plane,1,4b,1,[0.45751257996565203],0.0,0.457512579965652,A2B3C10,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Au-O-Se,0.007848471750005,-0.5033454834791671,0.9414,3,Orthorhombic,mm2,Cmc2_1,oxide,,,Au,,,,"O, S, Se",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.997560121275089
mp-560021,AuS3(O3F)3,2.0263864780835457,0.0883109603531828,Square plane,1,4e,1,[0.075396738368636],0.0,0.075396738368636,AB3C3D9,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",GGA,Au-F-O-S,0.0,-1.6464571429687491,1.4998,4,Monoclinic,2/m,P2_1/c,fluoride,,,Au,,,,"O, S",F,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0569967193063965
mp-560549,AuSeClO3,2.0396611513054124,-0.0140538545022475,Square plane,1,"1a, 2i, 1b",3,"[0.6527684076334851, 0.091459995509166, 0.44384620644432105]",0.0,0.3960248698623241,ABCD3,1,3,1,"[4.0, 4.0, 4.0]","[2.0, 3.0, 4.0]",4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,1.6666666666666667,1,2,"Cl-, O2-","Halogens, Nonmetals, Transition Metals",GGA,Au-Cl-O-Se,0.0,-0.915635207473958,1.3674,4,Triclinic,-1,P-1,chlorate,,,Au,,,,"C, O, S, Se",Cl,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0338276531124766
mp-561190,NaAu(SO4)2,2.1492523655051885,-0.3726192943247426,Square plane,1,2a,1,[0.219297011999523],0.0,0.219297011999523,ABC2D8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Au-Na-O-S,0.0,-1.646979430531608,1.753,4,Monoclinic,2/m,P2_1/c,sulfate,Na,,Au,,,,"N, O, S",,,,,"B $\in$ [-1, -0.1]",Negative B,2.0418851898651695
mp-658803,Au2O3,1.9893925454580423,0.2123242706859761,Square plane,1,1a,1,"[0.26336234649009205, 0.326304521196065, 0.290842511799424, 0.29426167944278203]",0.0,0.2936927647320907,A2B3,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,Au-O,0.026197807999995,-0.127189188000002,0.7390000000000001,2,Triclinic,1,P1,oxide,,,Au,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0539615358847287
mp-709946,CsAu(SO4)2,1.8833507429531533,0.5191583026236191,Square plane,1,1a,1,"[0.171165374447244, 0.11993368867116201, 0.162945076284075, 0.17587623039038602]",0.0,0.1574800924482167,ABC2D8,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Au-Cs-O-S,0.032739516874999,-1.656257978304597,1.3503,4,Triclinic,1,P1,sulfate,Cs,,Au,,,,"C, O, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.0327781547008072
mp-7471,Li3AuO3,1.925508669111323,0.3358526221409669,Square plane,1,4f,1,[0.080163592539346],0.0,0.080163592539346,AB3C3,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",r2SCAN,Au-Li-O,0.0,-1.671150384642856,1.8503,3,Tetragonal,4/mmm,P4_2/mnm,oxide,Li,,Au,,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0236594799544196
mp-768915,Na3AuO3,1.8833569451760432,0.5050688361380555,Square plane,1,4f,1,[0.14086327035367602],0.0,0.140863270353676,AB3C3,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",r2SCAN,Au-Na-O,0.0,-1.231382105,1.7917,3,Tetragonal,4/mmm,P4_2/mnm,oxide,Na,,Au,,,,"N, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.03004622605983
