material_id,chem_formula,R$_0$,B,Pt_chemenv,num_Pt_chemenvs,Pt_wyckoff,num_Pt_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Pt_sites,num_CN_env,num_charge_states,PtX_coordn,PtO_coordn,mean_coordn_Pt-X,min_coordn_Pt-X,max_coordn_Pt-X,mean_coordn_Pt-O,min_coordn_Pt-O,max_coordn_Pt-O,mean_Pt_charge,min_Pt_charge,max_Pt_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_PtO_BondL
mp-1227497,Bi2Pd3PtO8,2.01610000125433,0.1176041304655281,Octahedron,1,1e,1,[1.149091211745752],0.0,1.149091211745752,AB2C3D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Bi-O-Pd-Pt,0.0,-1.157419119999999,0.0,4,Triclinic,-1,P-1,oxide,,,"Pd, Pt",,Bi,B,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.063802919135643
mp-1227763,BaSr2Y2Cu2PtO10,2.504344767814009,-1.114757039391801,no_data,1,no_data,1,no_data,0.0,no_data,ABC2D2E2F10,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Cu-O-Pt-Sr-Y,0.021813352175144,-2.536334781111111,0.5624,6,Monoclinic,m,Cm,oxide,,"Sr, Ba","Cu, Y, Pt",,,B,"C, O, P, S",,,,,B < -1,Negative B,2.0514731192180733
mp-1228242,Ba3YRuPtO9,1.8042507603433249,0.5811802232049529,Octahedron,1,2d,1,[0.303647551529558],0.0,0.303647551529558,ABCD3E9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-O-Pt-Ru-Y,0.0,-2.524015475333334,0.2155,5,Trigonal,-3m,P-3m1,oxide,,Ba,"Y, Ru, Pt",,,B,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.041073251652879
mp-1228458,Ba6Y2Ru3PtO18,1.692448612342785,0.8522449358852244,Octahedron,1,1a,1,[0.25805327669280903],0.0,0.25805327669280903,AB2C3D6E18,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-O-Pt-Ru-Y,0.0,-2.575113708666667,0.0,5,Trigonal,3m,P3m1,oxide,,Ba,"Y, Ru, Pt",,,B,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.038675892607748
mp-1228609,Ba5Co4PtClO13,1.89436220382708,0.3628516667422717,Octahedron,1,2a,1,[0.5880195214589841],0.0,0.5880195214589841,ABC4D5E13,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Metalloids, Nonmetals, Transition Metals",GGA_U,Ba-Cl-Co-O-Pt,0.037102931614585,-2.027272356458333,0.0,5,Orthorhombic,mm2,Cmc2_1,hypochlorite,,Ba,"Co, Pt",,,B,"C, O, P",Cl,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0412334782479586
mp-1272688,Ni(PtO2)3,1.97612868089874,0.0908937363971165,"Octahedron, Square plane",2,"4b, 4f",2,"[0.8323451621340021, 2.300706366781051, 2.303532694188641]",0.0,1.8121947410345645,AB3C6,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,3.33,3.33,3.33,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Ni-O-Pt,0.0,-0.983246442749998,0.374,3,Orthorhombic,2/m,Cmmm,oxide,,,"Ni, Pt",,,,"N, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0152209148017763
mp-18971,Mn(PtO2)3,1.9772068228842543,0.0980005731526608,"Octahedron, Square plane",2,"2f, 1a",2,"[0.662020433356547, 2.185062254845765]",0.0,1.4235413441011562,AB3C6,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,3.33,3.33,3.33,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Mn-O-Pt,0.0,-1.188962142793099,0.073399999999999,3,Orthorhombic,mmm,Cmmm,oxide,,,"Mn, Pt",,,,"O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0228549572281693
mp-19238,Co(PtO2)3,1.9708147260967324,0.0998422833033779,"Octahedron, Square plane",2,"4d, 8e",2,"[0.824854652169505, 2.6418865486194623]",0.0,1.7333706003944838,AB3C6,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,3.33,3.33,3.33,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Co-O-Pt,0.0,-1.021103145,0.1366,3,Orthorhombic,mmm,Cmmm,oxide,,,"Co, Pt",,,,"C, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.016642680257571
mp-22048,Pt2PbO4,2.001337412213297,0.0293879883497759,"Octahedron, Square plane",2,"1f, 1e, 1h, 1b",4,"[0.673282401902023, 0.148979854718427, 0.124265405226609, 0.9531819544166341]",0.0,0.47492740406592326,AB2C4,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",r2SCAN,O-Pb-Pt,0.0,-0.868398527142854,0.0,3,Triclinic,-1,P-1,oxide,,,Pt,,Pb,,"O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.013892374592626
mp-2767430,La4PtO7,1.9102813905361864,0.1928599805108373,Square plane,1,1a,1,[0.6025513961940351],0.0,0.6025513961940351,AB4C7,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,La-O-Pt,0.0,-3.234319605833332,0.9344,3,Monoclinic,m,Cm,oxide,,,Pt,,,,"O, P",,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.0433492318474626
mp-29332,Pt(PbO2)2,2.006480725645837,0.0710554696214661,Octahedron,1,4e,1,[0.906502209129675],0.0,0.906502209129675,AB2C4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",r2SCAN,O-Pb-Pt,0.0,-1.027809887857139,0.523799999999999,3,Orthorhombic,mmm,Pbam,oxide,,,Pt,,Pb,,"O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.035647328137547
mp-29787,Ba5Pt2O9,1.925282727798131,0.3457780397167631,Octahedron,1,"2d, 2c",2,"[0.300637143670613, 0.296172082571726, 0.521761751779106]",0.0,0.372856992673815,A2B5C9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",r2SCAN,Ba-O-Pt,0.0,-2.309565526354177,1.6295000000000002,3,Trigonal,32,P321,oxide,,Ba,Pt,,,B,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0658156390583042
mp-33940,Mg2PtO4,2.0300701493179463,0.0178530125953264,Octahedron,1,2b,1,[0.39013603052960405],0.0,0.39013603052960405,AB2C4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",r2SCAN,Mg-O-Pt,0.0,-2.180559152142856,1.077399999999999,3,Orthorhombic,mmm,Imma,oxide,,Mg,Pt,,,,"O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0373444973702806
mp-35647,Zn2PtO4,2.0042602112525127,0.0770498382848919,Octahedron,1,2b,1,[0.345074457713999],0.0,0.345074457713999,AB2C4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,O-Pt-Zn,0.0,-1.428108532142876,0.6309,3,Orthorhombic,mmm,Imma,oxide,,,"Zn, Pt",,,,"O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0356563059413886
mp-38108,Ba3Pt2O7,2.007457617287064,0.1105046605605834,"Square pyramid, Octahedron, Square plane",3,2a,1,"[1.381351155550243, 1.534584557914438, 1.137249086229374, 1.5078666547085522]",0.0,1.3902628636006518,A2B3C7,3,3,1,"[4.0, 5.0, 6.0]","[4.0, 5.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-O-Pt,0.003664263458353,-2.029308782291666,0.0,3,Monoclinic,m,Cc,oxide,,Ba,Pt,,,B,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0391622230162527
mp-4784,CaPtO3,1.877641285328282,0.4026624006606347,Octahedron,1,2b,1,[0.9082449513903701],0.0,0.9082449513903701,ABC3,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",r2SCAN,Ca-O-Pt,0.0,-1.797064005999999,1.2953,3,Orthorhombic,mmm,Cmcm,oxide,,Ca,Pt,,,,"C, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0412489271781116
mp-504966,Ba2Y2CuPtO8,1.84988312889102,0.5452502218671174,Octahedron,1,4c,1,[0.193552303345865],0.0,0.193552303345865,ABC2D2E8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Cu-O-Pt-Y,0.017631235803571,-2.653220258035713,0.2116,5,Orthorhombic,mmm,Pnma,oxide,,Ba,"Cu, Y, Pt",,,B,"C, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.0666074584863465
mp-556254,K4Pt2(SO4)5,1.83541353674125,0.4672247282830307,Square pyramid,1,2i,1,"[0.340593101415449, 0.385558464922224, 0.33812392076319403, 0.27191279705166704]",0.0,0.3340470710381335,A2B4C5D20,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,K-O-Pt-S,0.0,-1.881279075209677,1.705099999999999,4,Triclinic,-1,P-1,sulfate,K,,Pt,,,,"O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0741170211650406
mp-556331,Sr4Pt4PbO11,2.030924961482258,0.0375357793473394,"Square pyramid, Square plane",2,2i,1,"[0.08652656246083301, 0.109441389768619, 0.15948651238615802, 0.21024180284621402]",0.0,0.141424066865456,AB4C4D11,2,2,1,"[4.0, 5.0]","[4.0, 5.0]",4.5,4.0,5.0,4.5,4.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals, Transition Metals",GGA,O-Pb-Pt-Sr,0.0,-1.963278883749999,0.533899999999999,4,Triclinic,-1,P-1,oxide,,Sr,Pt,,Pb,,"O, P, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.046533024845343
mp-560373,Bi3Pt3O11,2.2303410331801947,-0.5413144390558788,Octahedron,1,12g,1,[0.662067091476473],0.0,0.662067091476473,A3B3C11,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",r2SCAN,Bi-O-Pt,0.0,-1.015876276911766,0.0,3,Cubic,m-3,Pn-3,oxide,,,Pt,,Bi,B,"O, P",,,,,"B $\in$ [-1, -0.1]",Negative B,2.006365377948935
mp-560453,Ca7Cu(PtO6)2,2.0442385301102104,0.0139215263162465,Octahedron,1,2c,1,[0.16028848605651],0.0,0.16028848605651,AB2C7D12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Ca-Cu-O-Pt,0.016554643333321,-2.345478969292932,0.5033999999999991,4,Monoclinic,2,C2,oxide,,Ca,"Cu, Pt",,,,"C, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0499014284021135
mp-625208,H8PtO6,2.0388447934450378,-0.0056901144447103,Octahedron,1,1a,1,"[0.09268409467626401, 0.17074579579812402]",0.0,0.13171494523719401,AB6C8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,H-O-Pt,0.048266325666665,-0.917069378,1.830699999999999,3,Triclinic,1,P1,oxide,,,Pt,,,,"H, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.036226543942746
mp-645189,CsKPt6(S3O14)2,1.811882816823124,0.4617686226698573,Square pyramid,1,6f,1,"[0.259535811490793, 0.26219799866896804]",0.0,0.26086690507988053,ABC6D6E28,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",r2SCAN,Cs-K-O-Pt-S,0.0,-1.5465969529025032,1.1189,5,Trigonal,-3,R-3,oxide,"K, Cs",,Pt,,,,"C, O, P, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0490817559232557
mp-6595,Sr3CuPtO6,2.093042851023124,-0.0833796338150245,Octahedron,1,2c,1,[0.49701994661354104],0.0,0.49701994661354104,ABC3D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Cu-O-Pt-Sr,0.0,-2.237133783636364,0.0,4,Monoclinic,2/m,C2/c,oxide,,Sr,"Cu, Pt",,,,"C, O, P, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0590107065938366
mp-753552,Cu4PtO5,2.027680000460085,0.0252887589708588,Square plane,1,2m,1,[0.7332910584583231],0.0,0.7332910584583231,AB4C5,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Cu-O-Pt,0.011472353499998,-0.7302254965,0.0,3,Monoclinic,2/m,P2/m,oxide,,,"Cu, Pt",,,,"C, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0278036608492127
mp-757840,Ba4(PtO3)3,2.057667687728243,-0.0101434491451529,"Octahedron, Square plane",2,1a,1,"[0.9849615328815121, 1.042788640742324, 1.008312523052186, 0.9061335422634291, 0.9573360406969991, 1.009394340226001, 0.9069030778928371, 0.9905113855692731, 1.021217802442455]",0.0,0.9808398761963352,A3B4C9,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,3.33,3.33,3.33,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",r2SCAN,Ba-O-Pt,0.0,-2.075194557812495,1.5148,3,Triclinic,1,P1,oxide,,Ba,Pt,,,B,"O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.052700079886502
mp-8207,Zn(PtO2)3,1.9710616317503795,0.0964618308231706,"Octahedron, Square plane",2,"1a, 2f",2,"[2.258441576578346, 0.702937378663094]",0.0,1.48068947762072,AB3C6,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,3.33,3.33,3.33,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,O-Pt-Zn,0.0,-1.106678720999999,0.3047,3,Orthorhombic,mmm,Cmmm,oxide,,,"Zn, Pt",,,,"O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0149195343541066
mp-8208,Mg(PtO2)3,1.9715749593634229,0.1000011853181974,"Octahedron, Square plane",2,"1a, 2f",2,"[2.441144168568711, 0.8128175406574091]",0.0,1.62698085461306,AB3C6,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,3.33,3.33,3.33,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",r2SCAN,Mg-O-Pt,0.0,-1.376596223500001,0.2984,3,Orthorhombic,mmm,Cmmm,oxide,,Mg,Pt,,,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0172831215517597
mp-8212,Cd(PtO2)3,1.9784260291916909,0.0945563636451474,"Octahedron, Square plane",2,"1a, 2f",2,"[1.517008789546522, 0.36317881883295106]",0.0,0.9400938041897365,AB3C6,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,3.33,3.33,3.33,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,Cd-O-Pt,0.0,-1.076017277999997,0.2137,3,Orthorhombic,mmm,Cmmm,oxide,,,"Cd, Pt",,,,"C, O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.024825915225064
mp-860960,Ba4(PtO3)3,2.055146206668169,-0.0044072266195333,"Octahedron, Square plane",2,1a,1,"[1.012318911144421, 0.9616086841372421, 0.8911387700424851, 0.949977290959204, 0.9077952519214981, 0.9629522441903181, 0.8943207551287421, 1.022491248390512, 1.002429868934211]",0.0,0.9561147805387371,A3B4C9,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,3.33,3.33,3.33,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",r2SCAN,Ba-O-Pt,0.002135048749995,-2.073059509062494,1.444999999999999,3,Triclinic,1,P1,oxide,,Ba,Pt,,,B,"O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0529843219792383
mp-9737,Ba4Sm4Zn3PtO15,1.938612468353627,0.2676401720503593,Octahedron,1,2b,1,[0.10874077800252101],0.0,0.10874077800252101,AB3C4D4E15,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Ba-O-Pt-Sm-Zn,0.008123256327171,-2.831183797037037,2.4891,5,Hexagonal,6mm,P6_3mc,oxide,,Ba,"Zn, Pt",,,B,"O, P, S",,,Sm,,"B $\in$ [0.1, 0.5]",Positive B,2.047323220413397
mp-9837,Ba4Nd4Zn3PtO15,1.8945689569419204,0.3868272198466186,Octahedron,1,2b,1,[0.06767415070164401],0.0,0.06767415070164401,AB3C4D4E15,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Nd-O-Pt-Zn,0.0,-2.810163555740741,2.380099999999999,5,Hexagonal,6mm,P6_3mc,oxide,,Ba,"Zn, Pt",,,B,"N, O, P",,,Nd,,"B $\in$ [0.1, 0.5]",Positive B,2.0516922315417867
mp-997006,AgPtO2,2.0280629284780622,0.0245818934792814,"Octahedron, Square plane",2,"1a, 1f",2,"[0.6914579167642121, 0.7993472017736161]",0.0,0.7454025592689141,ABC2,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,Ag-O-Pt,0.022420155833335,-0.672532186666665,0.387099999999999,3,Monoclinic,2/m,P2/m,oxide,,,"Ag, Pt",,,,"O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.050376133496677
mp-997007,AgPtO2,3.305160599024608,-1.2303722348536006,Square pyramid,1,2i,1,[1.121709784876131],0.0,1.121709784876131,ABC2,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,Ag-O-Pt,0.043415518333334,-0.651536824166665,0.055499999999999,3,Monoclinic,2/m,C2/m,oxide,,,"Ag, Pt",,,,"O, P",,,,,B < -1,Negative B,2.0934775332937274
